X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.024960237748118,38.898317841700482,18204218,2019-01-08T22:07:06.000Z,EVENING,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF G STREET NW,397835,136718,2,2C,2,209,Cluster 8,005800 1,005800,Precinct 129,38.8983100548369,-77.0249579465415,DOWNTOWN,2018-12-01T17:03:24.000Z,2018-12-01T19:03:41.000Z,259269620,18204218-01
-76.976865130414097,38.900200965914394,18219484,2019-01-02T10:10:45.000Z,DAY,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF H STREET NE,402007,136927,5,5D,5,507,Cluster 23,008904 2,008904,Precinct 79,38.9001931768789,-76.9768628540706,,2018-12-27T13:53:41.000Z,2018-12-27T16:17:00.000Z,259270737,18219484-01
-77.017646475429956,38.87787015425954,18220657,2019-01-05T11:31:29.000Z,DAY,OTHERS,THEFT F/AUTO,900 - 1199 BLOCK OF 4TH STREET SW,398469,134448,6,6D,1,105,Cluster 9,010200 2,010200,Precinct 142,38.877862371248,-77.0176441877483,SOUTHWEST,2018-12-29T14:15:38.000Z,2018-12-29T14:50:43.000Z,259271537,18220657-01
-77.02493789997051,38.900371752935655,18220759,2019-01-02T08:48:03.000Z,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF PALMER ALLEY NW,397837,136946,2,2C,2,209,Cluster 8,005800 1,005800,Precinct 129,38.900363965657,-77.0249356086454,DOWNTOWN,2018-12-29T17:10:54.000Z,2018-12-29T17:20:51.000Z,259271554,18220759-01
-77.023972060616458,38.90791194733913,19026929,2019-02-15T02:32:47.000Z,MIDNIGHT,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF 9TH STREET NW,397921,137783,2,2F,3,307,Cluster 7,004902 1,004902,Precinct 129,38.9079041585041,-77.0239697691315,,2019-02-14T22:00:46.000Z,2019-02-15T00:55:00.000Z,259266643,19026929-01
-76.967447977135549,38.922377260676377,19026933,2019-02-15T02:31:50.000Z,MIDNIGHT,OTHERS,THEFT F/AUTO,2800 - 2999 BLOCK OF CHANNING STREET NE,402823,139389,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,38.9223694668182,-76.9674457023726,,2019-02-15T02:00:47.000Z,2019-02-15T02:31:58.000Z,259266644,19026933-01
-76.963640412514664,38.926429882472519,19026936,2019-02-15T04:08:28.000Z,MIDNIGHT,OTHERS,BURGLARY,2804 - 2898 BLOCK OF BLADENSBURG ROAD NE,403153,139839,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,38.9264220876554,-76.9636381386906,,2019-02-15T01:46:33.000Z,2019-02-15T01:53:44.000Z,259266645,19026936-01
-76.991813536391177,38.932497844995552,19026939,2019-02-15T03:19:05.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,1000 - 1199 BLOCK OF MONROE STREET NE,400710,140512,5,5B,5,504,Cluster 22,009301 2,009301,Precinct 73,38.9324900500052,-76.9918112534198,,2019-02-15T02:31:11.000Z,2019-02-15T03:09:32.000Z,259266646,19026939-01
-76.948601756127715,38.894868006362763,19026946,2019-02-15T03:57:16.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,3900 - 3919 BLOCK OF BENNING ROAD NE,404459,136336,7,7F,6,602,Cluster 30,009603 2,009603,Precinct 102,38.8948602173515,-76.9485994889128,,2019-02-15T03:10:50.000Z,2019-02-15T03:48:19.000Z,259266647,19026946-01
-77.032617620617515,38.904531721918559,19026959,2019-02-15T04:23:48.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171,137408,2,2F,2,207,Cluster 8,010100 2,010100,Precinct 17,38.9045239340876,-77.0326153266469,DOWNTOWN,2019-02-15T03:42:24.000Z,2019-02-15T03:44:17.000Z,259266648,19026959-01
-77.014246820517641,38.878411122224591,19026961,2019-02-15T04:44:04.000Z,MIDNIGHT,GUN,ROBBERY,200 - 299 BLOCK OF K STREET SW,398764,134508,6,6D,1,105,Cluster 9,010500 1,010500,Precinct 128,38.8784033389772,-77.0142445338615,SOUTHWEST,2019-02-15T03:43:36.000Z,,259266649,19026961-01
-77.023974262074958,38.914461011796298,19026978,2019-02-15T07:06:53.000Z,DAY,OTHERS,THEFT F/AUTO,1800 - 1827 BLOCK OF 9TH STREET NW,397921,138510,1,1B,3,305,Cluster 3,004400 2,004400,Precinct 137,38.9144532216411,-77.0239719701891,,2019-02-14T20:30:56.000Z,2019-02-15T07:08:12.000Z,259266650,19026978-01
